,0,1,2,3,4,5,6,7,8,9
0,116602,140303,203154,224436,170027,95645,158541,288130,331141,115
1,92515,175234,237932,155152,130671,73624,169337,192798,187748,129
2,114171,163494,205424,235653,95906,18813,75683,228076,170577,941
3,34585,135380,273549,211890,54301,9508,79544,165131,249917,1040
4,144855,150300,157163,191336,209862,48934,73147,188981,224412,1086
5,102549,170621,181837,116161,143767,93307,112760,287932,324101,1559
6,92799,104066,150849,189505,141352,75594,122572,238208,266609,1579
7,11892,155002,286313,107663,101987,17671,128997,282282,290501,1641
8,49224,148071,229452,113719,13348,21019,101594,266552,295082,1698
9,171988,139685,189589,220661,155454,81933,109590,237471,285055,1892
10,189462,303884,278276,142708,15617,15789,39669,224255,329643,2089
11,102330,247298,201494,246454,188280,94557,148589,274499,301675,2097
12,124525,199717,209472,160536,95717,21083,53793,193490,209547,2104
13,171470,173687,177910,185731,133315,9366,70778,197240,223235,2274
14,152477,216345,237017,242595,191460,24591,69421,197993,288174,2500
15,196395,127221,244374,203692,48805,10865,161409,332180,332957,2613
16,140315,190381,362418,231683,190543,53574,85345,322365,219026,2676
17,104042,202902,216795,197213,158855,28703,34844,187651,214358,2813
18,219834,237895,231234,239783,199300,38830,113889,279776,310837,2858
19,62857,174325,189004,206516,151962,59084,82623,180206,226738,2864
20,19743,155010,194171,166138,64721,19462,91317,268210,229990,2897
21,62714,60402,244327,312030,120695,66979,96329,262395,257463,2941
22,163175,123170,161727,193830,168142,19170,79701,175305,212963,2967
