,0,1,2,3,4,5,6,7,8
0,239,3663,5615,8965,4688,1188,1037,2023,500
1,327,316,2765,2691,2076,419,196,502,252
2,349,4927,3487,4917,2398,0,151,966,583
3,340,154,226,532,311,0,0,52,314
4,64721,44301,13022,3960,596,316,4933,1390,2058
5,33547,39256,36633,43540,27586,6774,11204,42471,6631
6,13992,26117,27214,36990,26893,6368,8443,29601,24919
7,2127,1666,494,2827,23452,9219,18611,28657,18275
8,625,5835,3777,13997,7057,2073,4406,16321,8314
9,0,91,71,435,124,53,221,252,180
10,132,11,0,0,0,0,0,0,0
11,41188,54123,70599,104965,36402,25006,13707,28385,43370
12,0,66,1,1264,606,192,27,880,4614
13,0,204,3187,4079,1679,1096,4613,3349,2590
14,0,56,224,2029,961,0,839,2407,1528
15,25917,31975,29888,15572,6626,0,12176,16942,17186
16,27651,48145,84680,54113,44104,7,31578,63713,91250
17,0,0,0,265,211,0,0,0,0
18,244,865,564,1523,332,0,48,201,165
19,5996,7611,6010,5968,4164,2404,4119,7185,5188
20,0,406,0,0,1357,1184,80,118,0
21,7587,5080,9498,9944,8133,6239,5752,7594,12578
22,80,3378,9489,27614,17139,1956,99,487,441
23,5455,4742,4354,16356,21307,5843,9519,14921,24928
24,638,1071,54,166,3019,5748,3501,695,0
25,4206,13409,21882,22334,8179,3373,14494,7842,14025
26,2020,310,246,944,377,17,81,290,585
27,82,299,311,1188,1335,10,30,204,118
28,19918,37223,817651,1349824,1561153,1417040,2663,15298,32515
29,7195,7542,7144,12345,24994,13761,14496,19073,50004
30,0,0,1406,2845,1165,0,0,138,0
31,1629,13317,8303,1743,227,0,5868,17318,16242
32,0,51,101,286,87,37,7,90,51
33,766,156,0,0,0,0,0,0,0
34,0,0,22,161,1020,120,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,123,1746,342,179,175,0,300,204
37,5038,4944,4217,2062,945,848,1331,2897,7268
38,114511,84102,62716,58679,63922,28501,66753,95882,10978
39,5555,13316,7662,13610,5798,2801,1446,4737,4774
40,359,603,3086,2903,1009,188,214,257,444
41,99,124,367,559,342,287,0,57,112
42,2617,2376,2045,6193,3933,2222,1897,4090,2410
43,2751,1864,928,1865,775,1262,1523,640,607
44,0,0,0,0,0,0,0,0,0
45,1353,2441,2369,5800,3573,636,200,786,5112
46,37348,42249,49358,82864,73731,31426,44770,67562,67587
47,3655,29915,114445,209667,356876,71709,152,14420,15019
48,330,151,224,4140,367,393,182,3,7
49,1116,5752,14332,8894,4844,2090,9295,16303,16697
50,709,2581,7233,14099,7230,2141,1678,1842,4541
51,286,232,1830,4836,3408,3282,3603,4951,4910
52,99,90,420,12,0,0,12392,32294,1252
53,11618,26912,44370,20152,10218,4730,3999,5809,5764
54,1027,526,379,262,174,189,967,2571,3442
55,603,4148,4138,2983,1534,1291,332,596,564
56,0,0,5,13,4,0,0,0,0
57,2258,2825,2148,1501,0,0,0,0,0
58,20,0,0,0,42114,56676,10132,11125,6147
59,15942,13298,22495,27284,133833,24404,11185,8526,2641
60,783,1294,2712,5984,5997,4003,327,560,163
61,2255,2255,3645,4237,3256,1816,0,25,0
62,1410,1243,1087,903,784,0,0,536,398
63,54032,29060,60774,55223,40892,12819,34589,76576,131007
64,35,50,21,134,89,0,0,10,36
65,30518,27560,19357,20426,14123,24039,10192,9072,9038
66,22272,56996,24379,52777,23959,5428,10383,13039,9909
67,280,536,1946,7681,4441,0,57,919,0
68,0,0,10090,19920,45684,22,26485,35975,56063
69,4311,4202,5317,12385,13231,4117,21231,40478,32333
70,93439,35629,13483,7055,479,30974,40921,14221,9732
71,3327,1717,1262,2429,1739,1183,2102,2864,2222
72,4120,6174,251,7230,0,1729,54566,37612,29324
73,0,0,0,0,0,0,0,0,0
74,10146,6876,6349,14019,6819,1889,1020,4625,6949
75,0,0,0,3,0,0,0,191,91
76,454,610,131,505,178,14,35,4,0
77,39980,59770,157648,121077,82582,3521,119476,160085,125427
78,4699,4583,5820,1508,552,189,3896,24502,17246
79,4209,11088,19718,7948,3356,0,5750,12510,39114
80,378,46654,64571,12473,1188,372,2695,10264,10538
81,21736,51982,40660,23789,46101,5892,47571,52167,59162
82,112,6798,18821,10009,8346,435,924,5019,6502
83,2576,6898,13920,25859,7346,2868,10245,21151,13398
84,12871,15372,17699,31162,18868,14198,16035,16952,22539
85,157,520,553,10085,826,416,129,0,0
86,518,1077,1291,9656,132,0,73,0,33
87,0,277,1538,2642,904,0,42,180,2163
88,386,272,819,4501,625,0,40,9810,16824
89,2581,10874,16792,25437,29829,22098,29648,34934,36506
90,958,2255,2465,4310,2729,2514,1649,2769,2164
91,0,1186,24171,22925,1583,478,9104,1168,1048
92,7,704,416,1254,532,22,7,14,29
93,23,265,2193,2107,1012,150,237,1122,1099
94,14458,95057,79940,12138,19329,20972,11643,17072,14808
95,1449,1400,629,583,6321,2060,747,2004,53
96,101,78,228,685,178,15,23,0,0
97,63,216,25,1519,463,5,0,0,0
98,16535,29512,29427,20956,12562,8274,12174,17884,17124
99,3445,3072,7174,4825,2516,88,1946,1401,2510
100,19028,12680,24417,28793,16296,2743,14007,38445,41575
101,235,284,3171,7723,13685,2407,7699,17818,10460
102,115,259,152,198,211,99,261,428,308
103,9,0,857,1108,346,931,942,21,43
104,7,681,1707,5448,2272,517,211,250,172
105,697,1428,1483,1079,62,16,22,494,1370
106,441,632,1257,2530,2153,676,424,1112,294
107,2952,2480,209,967,0,254,1826,3057,1581
108,3182,6415,2811,3004,853,315,1026,1229,825
109,65,121,49,952,308,29,41,44,11
110,5665,5219,437,125,0,0,0,0,0
111,15687,7565,7884,9218,4001,1900,4156,7611,6813
112,67,94,161,252,49,11,1,371,4144
113,0,356,472,1466,0,0,0,143,34
114,163,189,221,470,255,161,0,48,122
115,11220,11751,17147,16700,11869,10702,15102,26570,45143
116,3951,8820,6982,6486,29,0,257,389,1515
117,0,35,192,110,173,0,0,0,0
118,0,0,0,0,0,0,0,3,0
119,25364,30051,13702,28992,32867,1494,316,134117,286888
120,32260,64130,100983,40353,4698,31547,68830,86196,66729
121,0,0,0,0,0,0,0,4422,4042
122,92676,113218,277479,338783,334638,229760,24270,33361,36027
123,1981,900,771,2425,1010,112,54,886,108
124,3513,12126,36586,10610,3469,2480,0,4559,507
125,279,768,0,0,0,0,0,0,0
126,1041,1762,2769,2711,1708,466,1691,555,332
127,0,0,0,0,0,0,0,0,0
128,105,114,466,1844,200,0,0,0,0
129,220,0,0,894,0,0,66,198,0
130,55,58,436,244,79,7,0,11,0
131,751,885,1101,2160,1530,1427,2106,2084,1107
132,0,0,0,751,118,0,0,0,0
133,155,317,134,221,45,43,0,0,12
134,386,609,497,1289,709,364,168,745,716
135,117,527,318,70,426,50,0,0,0
136,25137,30304,35117,66812,26588,7544,24996,43847,35226
137,13582,6001,2460,8628,13474,8372,10038,18735,14254
138,518,904,0,3161,668,0,7,769,309
139,7889,7476,2753,17313,7153,9048,6893,5651,7297
140,0,0,0,228,187,55,0,469,224
141,19538,469,397,102356,608129,404438,446016,762440,776402
142,22,209,115,489,582,226,93,215,69
143,3755,3219,3662,964,227,44,1637,294,644
144,522,576,639,1196,785,967,720,405,208
145,0,13,0,0,0,0,0,0,0
146,15823,34083,78041,68391,80015,54212,60478,67560,72597
147,46691,21853,23152,30004,40273,17750,14401,30357,44204
148,12791,26690,32904,55037,11419,14024,4243,266358,4302
149,11615,7743,13681,3760,1969,4711,18029,16574,23787
150,38649,57525,62490,24714,3858,838,9764,39908,59850
151,0,235,537,2173,1566,703,392,2135,1217
152,0,0,0,1050,879,625,88,0,0
153,66,292,973,914,0,0,0,16404,55922
154,41373,464,1019,15143,16303,5812,54,1706,2755
155,104121,49946,34842,28042,19286,22940,43883,79383,108742
156,2285,6527,4820,2417,1081,1184,7,309,264
157,1262,4741,12515,35752,28987,2195,9841,26772,19065
158,483,1703,3204,2199,2630,1052,2277,5790,8313
159,0,0,0,109,86,31,0,0,239
160,3155,2386,3830,9109,4266,3175,3142,1531,1286
161,6473,3139,4146,9360,9087,3762,6396,11638,13611
162,14473,10998,38773,52031,23767,9067,3963,6039,5293
163,17418,19177,9835,22461,18019,39906,48299,63578,38352
164,127,13,221,2202,1664,1032,0,44,0
165,136,231,88,0,97,0,0,0,0
166,0,456,379,0,400,0,0,0,0
167,0,314,2729,5805,5026,135,345,753,252
168,0,0,0,0,0,0,0,0,0
169,3,51,699,1066,405,14,0,64,99
170,50,20,1028,32,758,0,0,3249,1873
171,106,272,691,2009,603,138,154,1039,2959
172,7751,280472,106269,47505,22289,4403,932,41696,69502
173,0,0,0,0,0,0,0,0,0
174,1041,1713,3986,4377,1578,161,244,899,550
175,83271,89732,85422,75744,67366,56532,45014,52092,49063
176,0,0,0,0,0,0,29,2611,349
177,653,1278,780,1206,1047,398,112,55,5
178,0,201,3064,3517,0,0,0,397,7664
179,0,2637,17087,6338,51,0,0,0,0
180,1593,7056,27112,27813,13568,4372,3170,4495,4795
181,14,528,0,2083,1753,2112,99,61,96
182,34028,8450,21802,20030,9908,9,36420,49676,23870
183,731,224,1186,835,789,154,6,649,1629
184,879,1701,1593,6588,4947,2908,2430,2439,1389
185,114075,109458,122641,168642,85468,38585,69989,65975,107952
186,36976,36615,76189,116534,108602,24774,47072,40632,39035
187,0,0,0,4654,0,0,0,0,0
188,0,0,0,15927,21076,13003,21164,10420,3565
189,0,0,0,6997,3134,360,51,0,0
190,27387,33604,35137,38790,30700,6172,13163,17357,17192
191,2578,5586,16166,15593,2991,2817,14761,29329,28549
192,186,253,669,2867,5423,2271,313,99,167
