,0,1,2,3,4,5,6,7,8
0,24,218,406,706,433,131,121,202,62
1,101,69,534,463,318,109,49,124,60
2,120,270,375,537,267,0,10,126,75
3,338,146,137,80,30,0,0,6,22
4,989,707,422,231,55,31,84,108,217
5,562,690,685,911,685,208,226,736,123
6,749,1258,1508,1938,1267,330,463,1612,1226
7,616,398,109,198,587,222,428,674,443
8,62,894,835,1318,952,658,576,2132,1968
9,0,16,21,36,26,15,45,67,46
10,20,2,0,0,0,0,0,0,0
11,1333,1943,2620,3537,1012,664,487,1401,2419
12,0,6,1,64,36,44,8,71,229
13,0,49,357,575,206,119,530,432,328
14,0,5,20,183,88,0,135,295,273
15,877,1049,680,394,202,0,335,645,672
16,1721,2214,3120,2230,1816,4,1335,2856,4263
17,0,0,0,14,24,0,0,0,0
18,205,161,133,316,74,0,3,73,331
19,556,662,586,477,394,259,351,642,490
20,0,14,0,0,72,90,7,6,0
21,1752,1275,1719,1710,1151,868,833,1083,1963
22,13,120,289,696,409,59,5,19,20
23,378,597,628,673,629,338,385,979,1279
24,50,137,7,49,339,449,266,50,0
25,547,799,1078,1077,731,426,832,771,900
26,331,28,64,124,72,6,17,35,148
27,8,27,30,119,93,1,3,23,12
28,1202,1399,1383,1469,536,110,417,1306,3915
29,174,164,154,249,481,309,254,319,771
30,0,0,159,279,142,0,0,48,0
31,114,1119,1001,640,83,0,535,1541,1561
32,0,28,47,62,34,16,3,47,26
33,552,102,0,0,0,0,0,0,0
34,0,0,3,22,47,15,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,16,43,24,19,29,0,29,34
37,455,560,538,173,84,60,114,251,801
38,1434,942,655,630,675,326,887,1294,160
39,238,523,370,603,264,143,62,306,281
40,432,315,491,318,56,104,76,18,69
41,58,52,119,144,71,62,0,33,66
42,31,34,42,92,53,37,27,60,44
43,324,170,100,120,46,45,56,28,38
44,0,0,0,0,0,0,0,0,0
45,151,253,268,404,305,70,24,93,1351
46,1991,2238,2521,4479,3923,1664,2341,3422,3835
47,102,715,881,1322,1902,383,3,498,959
48,83,63,122,322,157,167,73,4,4
49,169,403,718,408,315,259,930,1611,1680
50,189,665,1863,2698,1550,484,249,274,616
51,160,44,412,1232,621,449,501,646,636
52,1,4,31,2,0,0,446,1311,52
53,599,1316,1330,835,573,260,202,265,269
54,133,80,51,38,25,25,126,333,455
55,124,284,333,377,284,217,130,204,218
56,0,0,2,5,2,0,0,0,0
57,305,379,284,200,0,0,0,0,0
58,4,0,0,0,355,540,127,307,285
59,415,222,381,363,1260,248,84,63,21
60,167,196,332,578,495,352,100,190,47
61,877,655,1034,955,898,506,0,4,0
62,267,212,214,206,208,0,0,149,96
63,1072,700,1067,940,689,280,752,1933,2934
64,7,8,4,20,8,0,0,2,7
65,125,109,86,89,64,158,59,45,34
66,61,139,77,135,88,14,36,43,26
67,20,45,258,424,240,0,6,84,0
68,0,0,805,1135,1754,2,1449,1588,2227
69,986,510,563,1092,1465,431,1935,3766,2905
70,1446,1026,562,348,58,502,1071,1037,774
71,495,517,445,643,570,415,851,935,668
72,606,529,30,372,0,75,2600,2060,1639
73,0,0,0,0,0,0,0,0,0
74,1679,1114,988,1433,575,175,154,772,1235
75,0,0,0,1,0,0,0,236,123
76,106,138,37,62,22,6,22,1,0
77,2133,2471,4319,3491,2493,135,4092,5751,4207
78,264,214,312,134,46,19,222,1401,1106
79,517,758,1117,501,186,0,412,870,2335
80,11,583,791,271,44,25,49,263,321
81,1644,5141,3664,1706,1830,235,1943,2384,2771
82,32,449,1491,870,886,101,136,474,504
83,426,1417,1892,2311,760,284,890,1826,1355
84,2511,2322,2790,4275,2211,1674,2154,2331,2922
85,63,100,107,498,217,118,32,0,0
86,22,30,12,60,2,0,2,0,5
87,0,145,294,372,70,0,29,115,575
88,9,10,45,325,49,0,1,787,1493
89,604,923,1283,2159,1923,1361,1949,2260,2703
90,32,64,73,88,61,31,39,46,52
91,0,152,853,801,102,29,601,202,198
92,4,63,41,87,38,12,4,8,7
93,12,43,195,188,135,39,54,410,352
94,672,2355,1774,508,728,737,480,807,1138
95,196,293,154,69,670,195,155,1310,5
96,27,15,30,44,11,2,2,0,0
97,12,62,2,94,29,2,0,0,0
98,250,444,443,319,191,129,184,275,262
99,221,142,216,290,233,8,170,124,180
100,514,436,929,795,400,79,197,692,935
101,38,31,435,793,825,279,553,1094,1150
102,39,87,73,66,59,35,86,184,115
103,12,0,47,55,29,59,90,13,3
104,4,96,226,426,187,52,28,48,53
105,334,351,286,211,20,11,14,173,511
106,129,155,213,442,412,169,133,174,83
107,131,136,6,23,0,5,38,106,57
108,272,520,430,295,93,76,324,395,201
109,6,11,5,60,22,3,4,5,2
110,427,235,50,12,0,0,0,0,0
111,621,424,452,520,214,101,213,394,347
112,23,36,33,26,21,7,1,71,343
113,0,23,171,119,0,0,0,47,14
114,24,35,33,40,29,22,0,9,21
115,1041,1396,2060,2163,1736,1008,1620,2940,3723
116,504,769,437,419,5,0,68,106,240
117,0,14,67,28,16,0,1,1,0
118,0,0,0,0,0,0,0,3,0
119,448,551,260,426,554,53,9,1876,3685
120,329,788,1281,567,85,580,1448,1554,926
121,0,0,0,0,0,0,0,281,247
122,145,196,366,434,426,248,30,36,33
123,268,92,93,124,47,6,5,271,16
124,400,1037,2008,1114,511,379,0,128,14
125,34,39,0,0,0,0,0,0,0
126,173,265,461,350,258,85,255,152,86
127,0,0,0,0,0,0,0,0,0
128,108,93,170,377,56,0,0,0,0
129,12,0,0,297,0,0,6,18,0
130,16,20,42,24,9,1,0,5,0
131,60,77,111,136,107,87,155,146,87
132,0,0,0,60,10,0,0,0,0
133,43,81,66,79,29,24,0,0,1
134,54,45,41,67,45,33,13,59,57
135,45,105,49,32,47,26,0,0,0
136,539,660,720,1068,698,162,454,846,838
137,256,129,81,123,261,154,243,245,248
138,140,40,0,125,28,0,1,35,18
139,33,24,9,42,15,21,20,18,28
140,0,0,0,132,100,34,0,260,138
141,193,120,104,672,4018,2585,3055,5318,5228
142,4,14,22,41,40,31,10,27,16
143,239,196,185,86,15,3,117,20,46
144,355,392,435,546,520,548,369,226,133
145,0,2,0,0,0,0,0,0,0
146,87,98,166,201,196,264,218,316,217
147,534,447,497,612,720,308,461,864,664
148,378,781,959,966,351,324,263,619,133
149,392,444,659,209,130,210,859,1008,1088
150,860,1196,1204,558,104,22,211,929,1392
151,0,28,70,224,138,62,57,122,57
152,0,0,0,467,401,303,41,0,0
153,18,29,47,74,0,0,0,291,1016
154,832,20,219,464,598,237,5,116,154
155,1363,730,510,405,266,301,618,1047,1385
156,111,177,142,225,127,128,2,75,63
157,1904,1765,1779,2485,1785,203,734,2410,1892
158,189,664,975,585,601,204,433,1066,1393
159,0,0,0,31,38,15,0,0,65
160,198,147,298,737,360,261,250,119,93
161,857,830,1288,2319,1867,945,817,1185,1111
162,681,492,1336,1787,1009,298,172,202,217
163,1331,1962,1267,1902,1302,1664,2194,2349,1452
164,38,3,17,119,118,131,0,3,0
165,37,30,45,0,19,0,0,0,0
166,0,47,33,0,43,0,0,0,0
167,0,40,513,839,729,11,37,67,20
168,0,0,0,0,0,0,0,0,0
169,1,4,78,87,124,4,0,24,44
170,19,8,165,5,150,0,0,1786,1001
171,96,188,305,416,244,88,127,512,662
172,92,2899,2317,1363,758,167,39,640,4755
173,0,0,0,0,0,0,0,0,0
174,59,135,308,308,135,8,11,27,27
175,888,981,1045,1115,932,832,584,815,759
176,0,0,0,0,0,0,4,552,96
177,139,272,183,208,296,199,49,5,2
178,0,8,139,178,0,0,0,27,460
179,0,167,644,414,5,0,0,0,0
180,179,256,1028,2002,1728,651,613,948,1065
181,2,39,0,117,399,1079,26,20,30
182,741,397,1498,1442,707,2,2478,3696,2086
183,28,17,101,67,22,6,1,74,199
184,54,89,75,185,121,84,79,95,61
185,5304,4928,5321,7379,3612,1831,3133,3098,4123
186,636,660,958,1079,1084,249,478,439,409
187,0,0,0,220,0,0,0,0,0
188,0,0,0,587,773,556,1066,556,202
189,0,0,0,221,126,115,19,0,0
190,1730,1907,2138,2453,2232,374,1059,1530,1326
191,91,684,1613,1569,375,211,811,1615,1529
192,51,58,95,190,342,173,11,19,15
193,94,253,153,70,189,158,160,403,230
194,0,6,4,0,0,16,25,11,20
195,30,685,2472,2128,1502,633,463,718,909
196,49,587,1341,1872,1845,1167,1177,1182,822
