,0,1,2,3,4,5,6,7,8
0,114,582,1150,1368,1179,844,591,639,529
1,166,339,699,585,586,129,197,420,539
2,157,350,440,698,777,464,215,368,334
3,489,417,341,126,62,53,83,126,226
4,1004,722,422,233,62,33,394,876,218
5,1449,2074,2500,3357,2865,818,706,1456,296
6,791,1302,1620,2052,1392,369,517,1651,1267
7,730,590,211,278,592,225,470,743,561
8,1841,1572,1441,1881,1250,678,1031,2138,2062
9,26,25,34,61,40,23,56,103,72
10,143,388,612,567,455,339,567,519,341
11,1337,1946,2626,3538,1014,665,492,1403,2420
12,31,77,107,306,203,132,127,271,423
13,573,781,1212,1459,843,458,1357,1393,1121
14,61,222,229,312,237,139,238,737,833
15,928,1176,901,488,420,228,501,1196,1364
16,1974,2538,4430,4686,3102,391,1556,3690,5157
17,53,20,51,64,96,64,86,100,84
18,604,406,398,450,237,250,317,342,411
19,692,775,717,622,504,319,463,772,575
20,61,125,114,94,106,90,66,120,86
21,1769,1307,1749,1749,1520,1207,1096,1296,2143
22,32,149,298,705,425,128,59,131,72
23,379,599,652,794,664,360,438,993,1286
24,114,250,81,281,823,547,328,160,34
25,547,843,1237,1829,1177,715,1217,1412,1417
26,409,509,252,189,95,47,192,240,189
27,2627,2485,2993,3757,1525,772,2727,3207,3583
28,1594,1827,1895,1776,946,475,708,1490,4088
29,364,249,258,391,600,403,402,420,984
30,132,191,407,591,467,356,184,223,135
31,350,1412,1588,1192,156,0,536,1616,2204
32,21,95,177,152,77,71,63,104,103
33,1603,1172,1586,1634,1722,1057,1527,1546,1044
34,16,126,175,259,223,108,80,179,158
35,5470,3394,3738,4583,3421,1706,2582,3214,2973
36,223,248,194,168,167,164,59,273,449
37,603,590,570,181,86,60,115,258,808
38,1434,942,655,630,675,327,893,1314,275
39,306,635,474,728,308,158,91,430,579
40,599,737,956,627,1317,13599,1572,848,721
41,127,139,275,377,171,132,104,133,145
42,91,66,60,122,72,63,37,86,53
43,450,255,388,430,347,497,397,624,513
44,508,914,666,799,634,478,447,531,634
45,1273,1701,1127,567,392,83,26,175,1369
46,1998,2248,2524,4549,3988,1670,2346,3430,3841
47,132,780,1218,1859,1987,498,21,518,1036
48,669,967,1094,651,630,623,392,273,323
49,197,505,1185,1537,1083,564,1019,1733,1749
50,266,1031,2085,2737,1655,490,283,314,617
51,457,350,2339,2250,1018,722,692,902,1167
52,610,438,284,214,184,36,460,1576,126
53,602,1328,1350,857,616,273,241,328,382
54,1521,838,853,1236,926,583,963,1240,1302
55,135,319,352,424,301,220,131,226,455
56,147,231,282,200,176,28,122,245,177
57,709,714,639,474,197,267,284,1323,264
58,110,119,115,34,376,560,143,329,313
59,605,296,519,606,2512,355,130,102,39
60,210,257,543,897,610,449,143,254,195
61,1391,1157,1316,1222,1024,628,1013,1110,1063
62,431,348,319,293,291,148,134,261,147
63,1087,708,1089,951,690,289,765,1947,2948
64,332,317,235,212,150,89,85,170,205
65,126,110,86,89,64,158,59,50,64
66,62,139,77,135,88,14,37,45,30
67,227,282,305,765,457,382,190,288,173
68,77,181,823,1182,1863,85,1603,1791,2273
69,1451,861,1108,1425,1632,586,2120,4097,3166
70,1576,1173,784,494,141,568,1190,1260,905
71,9115,8515,8743,9839,9840,6896,11083,14198,10691
72,677,610,85,423,44,93,3085,2615,2069
73,50,43,39,34,12,11,23,9,9
74,1991,1532,1873,2392,1289,830,659,1161,2110
75,463,487,669,513,390,1,242,595,591
76,430,461,188,406,168,110,92,175,171
77,2282,2871,5042,4485,3555,556,5535,8272,5586
78,317,282,393,316,256,250,309,1540,1164
79,1403,1535,1892,1082,579,339,853,1474,3055
80,39,653,857,339,173,232,280,630,580
81,2664,6019,5305,2959,2559,684,2462,3051,3235
82,124,536,1910,1502,1353,470,322,663,747
83,469,1853,3426,3687,1535,612,1458,2944,2160
84,2893,2953,4523,6169,3253,2415,2573,2784,2985
85,82,206,403,720,316,191,138,130,194
86,39,38,59,150,94,43,9,40,58
87,1,360,1009,863,578,89,207,214,765
88,2745,4259,4449,4406,3914,2615,2232,3474,3594
89,1842,3039,3824,4408,3152,1817,2726,3242,3556
90,83,113,136,154,92,63,80,95,74
91,1,244,1182,1177,317,179,731,270,219
92,646,893,719,571,613,535,821,1392,1040
