,0,1,2,3,4,5,6,7,8
0,392,903,2472,2702,3237,3015,1511,1808,1373
1,545,942,2825,1021,1217,473,405,640,444
2,544,924,1652,1883,1494,1679,1261,2158,1603
3,98,0,97,0,0,0,0,0,57
4,367,342,515,978,683,288,676,1640,591
5,376,259,126,139,38,109,99,32,0
6,392,123,391,712,213,134,318,352,207
7,376,626,343,0,531,221,210,414,471
8,1061,911,776,1505,1024,524,1198,1760,711
9,161,179,36,58,182,0,69,419,73
10,211,2318,3444,3569,1906,3561,3685,3214,1069
11,76,96,167,380,194,152,42,286,239
12,0,56,332,1596,1375,875,326,128,360
13,242,428,427,464,364,160,449,501,404
14,321,455,263,520,565,292,535,2700,2593
15,732,2733,1017,1744,2523,2785,747,2578,2549
16,512,505,3367,5281,3056,743,538,2204,1733
17,317,65,409,658,357,0,1134,457,1109
18,856,1124,883,819,1028,845,499,648,642
19,220,286,348,212,297,192,267,482,194
20,255,759,1707,1338,1650,873,814,1481,1358
21,0,38,0,186,0,96,0,20,47
22,76,842,934,2714,3057,1411,561,1640,398
23,951,933,1661,2650,2765,1894,389,1147,2369
24,0,163,65,824,891,290,246,300,115
25,3652,6311,5268,5885,5538,1872,3345,5208,2618
26,2637,893,226,69,772,379,556,1827,355
27,1749,2147,2087,786,275,131,400,465,479
28,969,694,1399,3319,2127,923,376,895,892
29,329,54,109,224,773,308,715,515,265
30,455,384,1695,3463,2047,1582,408,617,11
31,324,243,277,734,103,0,33,588,553
32,0,0,61,360,71,71,71,250,34
33,362,359,340,306,182,158,375,373,181
34,0,374,1046,2254,2037,1024,131,809,647
35,138,214,259,551,293,200,195,228,185
36,458,409,408,645,732,1075,288,631,474
37,1054,716,693,453,201,0,440,404,456
38,286,1032,202,314,364,586,72,189,182
39,314,459,341,949,433,245,144,119,275
40,142,0,407,3414,2760,3022,2735,2362,893
41,218,275,949,1710,999,803,43,508,157
42,123,0,310,1117,203,468,83,931,320
43,487,280,189,175,285,0,290,357,145
44,115,296,227,202,259,75,119,198,354
45,185,352,863,1551,521,408,69,221,116
46,153,67,158,308,321,150,100,129,125
47,91,0,102,1610,4464,6429,681,194,300
48,286,105,375,853,569,673,98,178,483
49,0,317,470,1677,2293,1702,558,519,643
50,36,243,1081,1721,496,177,109,231,130
51,153,163,408,1359,527,388,519,252,101
52,1023,1684,1084,504,430,90,713,1021,507
53,107,796,869,2006,760,426,0,304,280
54,95,92,194,773,776,428,304,335,114
55,59,231,542,1467,1027,691,461,524,395
56,304,285,534,243,233,144,168,673,261
57,47,43,0,0,0,94,0,110,0
58,54,432,251,182,6560,9103,1584,2911,2415
59,0,69,0,0,87,69,142,87,0
60,439,660,1215,1781,2003,1751,360,417,345
61,591,967,551,758,502,474,726,1118,755
62,911,766,648,892,850,282,526,900,384
63,464,258,426,2526,1207,366,260,1140,1332
64,119,94,55,0,88,0,0,53,79
65,1122,1273,660,678,183,887,469,0,381
66,2108,4167,1063,1585,1920,2131,556,1994,1396
67,719,671,877,2148,2156,1898,796,1379,482
68,58,175,153,277,3413,298,627,831,525
69,303,608,1440,3901,1639,995,1896,3980,3065
70,751,1795,1943,2582,1351,507,1078,1859,1269
71,772,648,530,418,274,340,640,827,827
72,207,400,126,473,352,160,1387,2185,1812
73,281,199,90,54,128,90,0,0,594
74,937,1014,1687,3427,2566,2197,924,1819,1380
75,621,604,947,413,546,0,72,331,302
76,153,126,107,96,91,25,92,130,159
77,1305,1679,3843,4048,4284,1739,4215,8876,4257
78,72,189,387,927,366,829,309,508,715
79,1323,833,1330,2142,1003,699,1039,1122,1109
80,156,130,61,400,1098,537,674,1722,1091
81,700,1788,3227,5602,1779,533,1362,1036,829
82,190,785,2708,5531,3281,1956,954,530,699
83,240,758,242,222,261,288,512,1515,661
84,1133,1525,1546,1956,1955,2538,2475,3940,2197
85,1365,1302,2029,10552,5945,1855,1625,1202,1213
86,838,414,985,20252,6945,5878,176,360,102
87,0,167,736,1065,342,58,64,21,21
88,277,386,655,810,355,822,589,380,403
89,258,537,1880,1098,674,793,576,556,176
90,94,58,497,520,266,346,269,417,367
91,0,79,181,523,445,659,303,300,93
92,1753,2624,1636,1822,1330,1664,2409,3850,2907
93,127,140,718,1259,1156,511,659,1933,761
94,1179,1827,2903,5808,2361,1692,3506,2270,451
95,982,1650,3395,2069,3062,2326,4222,5288,2992
96,335,375,750,758,691,499,463,459,144
97,130,170,1119,1790,803,457,294,474,145
98,21,0,28,50,14,79,29,0,0
99,421,445,598,935,1005,364,47,381,50
100,460,306,585,774,1358,169,43,302,424
101,38,104,299,940,1979,3256,650,1037,1364
102,326,260,486,269,193,82,314,303,306
103,12,54,63,25,22,0,11,0,0
104,536,841,1211,2160,1643,457,356,993,428
105,458,967,3107,3099,1263,713,165,246,641
106,245,0,0,749,370,270,0,88,66
107,3036,1113,76,637,531,620,785,1378,985
108,54,218,619,797,581,392,268,257,297
109,0,54,577,685,622,104,225,298,185
110,228,284,0,83,310,724,1237,3085,2917
111,944,497,388,685,497,94,185,679,217
112,258,305,286,894,202,159,0,84,208
113,249,713,1198,3900,948,731,635,347,329
114,228,44,312,335,125,242,146,217,98
115,477,756,912,1224,1316,1482,1657,1920,1426
116,336,144,957,687,0,0,123,43,311
