,0,1,2,3,4,5,6,7,8
0,8,16,39,48,54,50,25,28,25
1,13,18,58,23,33,10,10,16,9
2,7,13,22,28,22,21,17,33,24
3,2,0,2,0,0,0,0,0,3
4,4,5,5,10,7,3,9,21,8
5,9,8,10,9,1,7,10,2,0
6,13,5,16,25,6,4,6,11,8
7,7,11,6,0,10,4,4,8,9
8,58,52,42,41,19,13,29,41,17
9,2,2,1,1,2,0,1,5,1
10,3,24,29,36,21,25,39,32,14
11,3,3,7,15,9,6,3,12,15
12,0,2,6,18,13,11,8,4,8
13,9,16,22,24,14,9,21,21,19
14,4,6,3,9,8,4,8,38,37
15,14,48,13,27,26,28,10,38,40
16,16,15,86,148,77,21,16,65,51
17,4,1,4,11,6,0,15,4,14
18,20,18,25,15,17,9,9,16,12
19,9,12,12,7,8,6,9,14,9
20,3,8,14,11,15,8,8,18,14
21,0,2,0,9,0,3,0,1,2
22,2,17,14,31,33,14,4,20,6
23,14,16,26,37,36,22,6,19,38
24,0,3,3,37,25,7,5,6,3
25,69,119,105,186,150,57,107,194,98
26,32,12,4,1,9,4,6,17,4
27,36,48,44,22,6,3,12,12,16
28,35,24,35,59,35,14,7,22,23
29,5,1,3,10,18,14,21,10,10
30,4,7,22,43,29,18,5,10,1
31,10,11,13,39,4,0,1,22,33
32,0,0,1,8,1,1,1,5,1
33,16,17,14,13,9,9,14,13,9
34,0,7,10,20,18,9,2,12,13
35,17,19,22,42,30,19,17,23,18
36,13,11,8,12,10,15,3,16,11
37,25,15,17,10,5,0,10,10,9
38,4,14,2,3,6,5,1,2,2
39,8,12,9,23,10,6,4,5,15
40,4,0,9,36,37,48,39,33,20
41,5,6,14,25,12,12,1,7,4
42,3,0,6,18,3,6,1,14,8
43,9,4,3,4,4,0,3,6,3
44,3,7,6,5,7,2,3,5,8
45,6,12,18,24,8,6,1,5,2
46,16,7,17,25,29,14,10,14,11
47,4,0,2,14,28,31,4,3,6
48,3,1,4,10,6,7,1,2,5
49,0,7,10,27,55,38,15,14,20
50,1,6,26,45,12,4,3,6,4
51,11,8,17,39,19,15,16,16,7
52,15,29,23,13,9,2,31,52,10
53,2,15,13,21,13,8,0,6,5
54,6,4,6,23,25,13,10,10,5
55,2,5,13,24,18,12,10,12,8
56,10,9,17,8,8,5,6,18,7
57,1,2,0,0,0,1,0,1,0
58,2,5,4,3,69,77,20,56,48
59,0,2,0,0,2,1,3,2,0
60,10,14,26,41,35,33,9,9,8
61,21,32,17,22,11,11,17,31,24
62,36,25,31,38,31,8,14,26,11
