,0,1,2,3,4,5,6,7,8
0,14572,66341,135478,160418,143917,105965,78392,83452,64165
1,14256,36401,77969,60386,37717,14332,18386,32405,36481
2,23480,47043,65361,105946,126523,77317,34455,55842,50663
3,52483,48558,42117,14259,6918,6200,10406,13481,24042
4,40034,57747,79613,51732,14673,7645,61327,145852,30908
5,56543,70944,76369,96750,78729,23899,26823,65985,13505
6,50791,83243,103056,117489,73248,24480,31855,92585,67398
7,85733,71559,25717,34000,73861,27650,55157,84915,66669
8,88604,70471,78238,184534,150976,70603,91697,175008,182436
9,4413,4308,4443,7951,5588,3592,9944,15393,11150
10,21659,80725,129677,116176,93276,62138,93553,89617,50306
11,77528,121717,170776,221816,62903,47366,21873,47571,77881
12,1656,5208,9968,45672,28229,14853,11847,16885,17376
13,24183,32531,42837,46947,30106,15952,46973,55120,40356
14,11163,38124,38475,46731,35613,22249,37092,113353,130734
15,66328,99344,99167,63383,79317,47562,52101,142339,145850
16,83526,80347,174845,225080,138257,27398,47623,137871,154852
17,8670,3731,8388,9137,15682,10462,14307,14683,13211
18,28408,31877,26686,39542,25581,28672,27211,23750,24663
19,46576,54308,51286,44294,37285,23548,31098,47346,36546
20,9244,23091,27842,25221,26521,20786,13236,22495,16051
21,57777,43916,58956,61677,59012,48606,43111,44257,72737
22,3798,19908,49814,124903,84193,24339,10066,21716,9304
23,47452,80736,89980,94603,74069,49961,43123,108217,124661
24,12922,20917,4189,15128,65160,47821,28741,14284,3103
25,65234,86468,113249,132397,98366,57811,81360,90943,85772
26,65011,70005,28849,19937,14463,7984,34831,45153,32217
27,263109,235292,277938,305666,127606,55073,203352,256907,227108
28,84423,93566,122594,178370,108855,57824,66361,115271,271142
29,25084,14539,11564,16810,35128,21030,24885,26998,34310
30,18431,24226,56258,70785,54331,42653,22671,16154,8281
31,22309,63061,77931,58706,6682,0,26722,81597,82710
32,1445,6518,14058,15604,6708,9286,7345,12122,10383
33,71701,57253,67265,69671,78212,48301,77120,76455,46062
34,2444,17989,34050,61642,47957,23694,12314,25391,20765
35,91904,74904,83925,103156,75593,39099,57497,70955,65436
36,15885,17492,18075,20268,22151,23387,6228,23185,30055
37,59274,61599,62667,19753,9294,5930,11663,26054,89222
38,278560,189516,143907,141399,148918,77067,197130,288177,49256
39,24077,52131,44017,64750,26934,13724,8157,30968,32477
40,46922,48471,35118,64447,87031,207346,75140,57185,43205
41,10709,17160,39013,57337,29255,22657,12234,15280,12583
42,7685,6597,6981,14210,9814,7462,5349,10221,5272
43,61645,35530,54262,40831,21431,49090,53851,65271,56738
44,43106,83290,57840,69557,53558,40786,37994,49150,62403
45,94548,127164,97273,87036,52550,16890,3897,15454,157159
46,44588,51701,57818,110830,96172,39647,55361,79092,95519
47,5171,27149,108022,160796,251046,115956,6973,39979,64029
48,136169,211034,235936,133191,135490,133742,85111,56270,66333
49,22746,52259,169705,210213,106412,47320,87227,131220,113286
50,25410,102201,203535,259276,160766,46239,22396,24159,43367
51,10028,13396,99190,92952,40359,26071,19166,22880,28804
52,50244,38020,21326,15393,13937,2768,23402,57909,8327
53,69157,154165,199704,130055,78534,33274,29810,40755,48086
54,38267,23962,37739,77270,55792,34278,38789,46631,37694
55,10933,26079,34375,44858,29136,23280,13273,19605,18296
56,9058,14652,17930,12909,11914,1860,7812,15781,10762
57,36689,29506,27753,25071,15877,16165,15557,58752,16259
58,6064,7091,9693,4240,78455,133197,26577,40331,32300
59,56282,31507,53763,44723,201391,36271,13331,11069,4086
60,22073,26502,53308,88102,63367,47114,14278,26266,18323
61,89418,97640,119777,115003,99839,61270,80909,81452,73067
62,26873,20772,17834,16759,16468,11027,10247,19781,12483
63,109977,71697,115092,86313,67501,23195,57015,109616,138805
64,19072,18650,14031,12527,9082,5557,4918,9954,11944
65,37841,38529,27499,28409,18314,26935,13944,14097,15631
66,17923,38789,26178,44645,20937,9056,14787,21929,13025
67,43835,57942,59886,108501,84783,79836,38916,56283,35238
68,10112,23770,68467,83179,95143,7501,94536,93165,99243
69,108246,56368,116538,154711,136689,48459,136187,256981,187125
70,74411,173073,152765,100549,31282,34725,125332,177370,123061
71,100979,83560,83569,95557,95865,67244,113408,150829,108908
72,52073,39533,6860,21762,4116,3671,127673,131501,114240
73,11066,8750,9944,7554,2596,3225,5851,2510,3486
74,89732,89912,146095,191505,114091,81642,50371,75622,106534
75,22969,24514,38913,26535,21168,0,11366,27384,29435
76,22683,26422,11241,22546,9902,6211,5068,8330,8206
77,109447,129502,171711,187935,171031,50340,215685,345927,204209
78,18151,17303,25172,21794,21359,20748,16961,80849,63347
79,106592,109872,136206,88060,50156,31492,54746,91771,191885
80,5330,49778,70274,44046,29782,43420,46968,96211,82992
81,154733,285770,291199,178366,93477,41152,77277,90893,80309
82,10980,61205,227076,197629,181593,67913,36168,54748,49719
83,33939,123636,130895,132461,59434,23497,57061,114611,89541
84,101235,108323,170439,221322,136791,109347,112381,131661,136783
85,14651,40614,66928,163123,83844,47213,36422,27435,35511
86,16173,37085,93023,246681,164374,77240,11282,40073,33458
87,23,16447,74294,60209,45567,5997,9424,9017,43279
88,134383,243735,274318,259487,246103,164186,137801,175556,152896
89,36343,60746,85189,95579,63645,31611,45485,51972,44514
90,5908,7445,9335,11674,7285,6594,6283,8504,5743
91,56,16568,92004,94440,31249,18047,49292,17072,7715
92,66714,97453,84028,66347,72001,67250,93653,154744,110720
93,3227,12631,36916,42327,32540,11525,20850,52033,45145
94,87929,260805,279839,288991,133002,160304,194371,90477,81949
95,57526,152384,148742,121392,262525,159897,271037,299785,201981
96,10787,14085,25020,22561,16748,14723,15546,16129,12932
97,66264,61539,131794,150432,84040,50261,37038,56318,53559
98,8626,13495,15154,13696,11138,7565,7377,10681,10309
99,26905,23818,32275,35561,42124,22350,12063,16279,13651
100,92988,53337,69923,56939,29823,8588,15587,41577,45391
101,9746,9410,27992,98541,136803,90465,69254,130494,128413
102,32819,33057,31378,25790,19270,12637,26312,35996,30320
