,0,1,2,3,4,5,6,7,8
0,114,582,1148,1364,1179,843,590,638,528
1,166,338,697,585,586,129,195,418,537
2,157,350,439,698,775,464,214,368,334
3,489,417,341,126,62,52,83,126,225
4,1004,722,422,233,62,33,394,876,218
5,1449,2073,2500,3352,2865,818,706,1456,296
6,789,1298,1619,2046,1390,367,516,1647,1266
7,730,590,211,278,592,225,470,743,561
8,1837,1569,1438,1881,1249,678,1031,2137,2062
9,26,25,33,61,40,23,56,103,72
10,143,388,610,567,454,338,567,518,341
11,1333,1944,2625,3535,1013,662,492,1403,2415
12,31,77,107,306,203,132,127,271,422
13,571,781,1211,1458,840,457,1347,1385,1117
14,61,222,229,310,233,139,236,735,830
15,928,1176,901,488,420,227,501,1196,1364
16,1974,2538,4430,4684,3102,391,1555,3689,5149
17,53,20,51,64,96,64,86,100,84
18,600,406,398,450,237,250,317,342,410
19,691,768,717,621,503,318,460,771,574
20,60,125,114,94,106,89,66,119,85
21,1762,1307,1749,1745,1520,1207,1096,1296,2143
22,32,149,298,705,425,127,59,131,72
23,379,599,652,794,664,360,438,993,1283
24,114,249,81,281,820,544,328,159,34
25,547,843,1236,1818,1169,714,1215,1407,1415
26,408,507,252,189,95,47,192,236,189
27,2626,2484,2992,3757,1524,770,2725,3203,3583
28,1594,1827,1895,1776,946,475,708,1490,4088
29,364,249,258,391,599,403,402,420,984
30,132,190,405,590,461,355,183,221,134
31,350,1412,1586,1189,156,0,536,1616,2191
32,21,95,177,152,77,71,63,103,103
33,1599,1171,1583,1631,1718,1057,1524,1545,1040
34,16,126,175,259,223,108,80,179,157
35,5454,3374,3723,4561,3397,1698,2576,3199,2969
36,223,248,194,168,167,164,59,273,449
37,603,590,570,181,86,60,115,258,808
38,1434,942,655,630,675,327,893,1314,275
39,306,635,474,727,308,158,91,430,575
40,597,737,955,626,1316,13584,1570,846,720
41,127,139,275,377,171,132,104,133,145
42,90,66,60,122,72,63,36,86,53
43,450,255,387,430,347,495,397,624,513
44,507,914,664,799,634,478,447,531,634
45,1273,1701,1127,567,392,83,26,175,1369
46,1994,2242,2521,4543,3984,1669,2343,3429,3836
47,132,780,1218,1859,1987,497,21,518,1036
48,669,967,1094,651,630,623,392,273,323
49,197,505,1185,1537,1080,563,1019,1733,1749
50,266,1030,2085,2735,1655,490,283,314,617
51,457,350,2333,2245,1018,722,692,902,1165
52,610,438,283,213,184,36,459,1576,126
53,602,1328,1350,857,616,273,241,328,382
54,1521,837,852,1234,926,581,962,1235,1287
55,135,319,352,424,301,220,131,226,454
56,147,231,282,200,176,28,121,245,176
57,709,713,635,472,196,266,284,1323,264
58,110,119,115,34,376,560,143,322,313
59,605,296,519,606,2512,355,130,102,39
60,210,257,543,896,610,449,143,254,195
61,1390,1157,1315,1222,1024,628,1013,1110,1062
62,430,347,319,293,290,148,133,260,147
63,1087,708,1089,951,690,289,765,1946,2948
64,332,317,235,212,150,89,85,170,205
65,126,110,86,89,64,158,59,50,64
66,62,139,77,133,88,14,37,44,30
67,227,282,304,764,456,381,190,288,173
68,77,181,823,1182,1863,85,1603,1791,2273
69,1451,858,1108,1422,1631,586,2114,4096,3162
70,1576,1172,784,494,141,568,1190,1260,905
71,9067,8481,8719,9805,9809,6887,11062,14168,10676
72,677,610,85,423,44,93,3085,2615,2069
73,50,43,39,34,12,11,23,9,9
74,1990,1532,1873,2390,1288,829,659,1161,2110
75,462,487,669,512,389,1,242,595,590
76,430,460,188,406,168,110,92,175,171
77,2282,2871,5041,4484,3555,556,5534,8269,5585
78,317,282,393,316,256,249,309,1540,1163
79,1403,1532,1891,1082,579,339,853,1473,3055
80,39,652,857,339,173,232,280,630,580
81,2661,6019,5305,2959,2559,684,2462,3051,3235
82,124,535,1909,1500,1352,469,322,663,747
83,469,1850,3417,3681,1528,611,1456,2936,2160
84,2887,2945,4519,6150,3244,2412,2571,2784,2982
85,82,206,403,720,316,191,138,130,194
86,39,38,59,150,94,43,9,40,58
87,1,359,1009,862,577,89,206,214,765
88,2741,4253,4446,4402,3904,2609,2230,3470,3589
89,1833,3035,3819,4403,3149,1817,2719,3237,3552
90,83,113,136,154,92,63,80,93,74
91,1,244,1182,1177,317,179,731,270,219
92,645,893,718,570,613,535,821,1391,1040
93,36,117,353,388,272,84,192,475,414
94,805,2602,2571,1906,1369,1581,1752,1240,1375
95,1479,3868,3671,2794,5556,3333,5554,6168,4150
96,90,103,154,138,91,77,100,118,117
97,515,482,1023,1166,654,390,288,473,573
98,391,632,694,587,428,282,318,476,451
99,399,296,310,371,450,246,200,235,250
100,884,592,979,828,408,85,205,702,935
101,270,188,767,1811,1794,987,921,1664,1995
102,951,973,901,733,569,354,726,1152,903
103,176,204,192,160,90,109,220,182,312
104,374,813,962,953,373,169,172,273,335
105,704,701,685,442,139,62,38,211,864
106,255,301,447,563,678,321,163,242,169
107,251,167,77,31,10,63,128,165,124
108,450,972,2127,1211,705,462,1061,1358,1538
109,55,66,122,273,148,71,131,112,60
110,519,284,65,89,508,213,935,2116,2186
111,627,439,455,521,215,100,214,394,349
112,137,213,218,196,154,53,33,163,608
113,105,266,316,362,192,141,173,101,32
114,27,39,56,63,50,39,26,42,36
115,1165,1464,2085,2212,1775,1112,1805,3131,3855
116,626,937,838,560,58,15,105,383,875
117,84,179,448,221,186,28,130,511,312
118,536,949,1239,837,508,205,583,911,1469
119,449,552,262,467,741,96,18,2018,4184
120,331,788,1281,569,87,580,1469,1545,973
121,787,667,744,597,590,249,506,1063,935
122,146,201,380,466,465,281,41,57,166
123,268,94,93,136,125,7,5,335,19
124,1242,2654,3763,2850,1044,711,213,1521,612
125,96,80,36,46,24,26,23,11,16
126,1140,1670,2229,1824,1311,490,1269,1579,1135
127,13,17,29,120,143,110,26,14,10
128,738,686,799,1140,1433,412,454,549,449
129,537,996,1338,892,692,402,890,1131,1082
130,331,387,355,293,222,58,194,234,258
131,202,107,127,164,174,150,275,286,169
132,452,521,501,667,408,369,261,302,329
133,46,88,70,85,32,25,13,49,64
134,94,136,102,163,167,100,42,82,81
135,194,279,312,268,213,199,104,64,37
136,1144,706,977,1402,1073,392,471,851,840
137,327,192,137,198,316,179,298,330,280
138,348,427,440,321,172,108,169,551,195
139,35,27,11,43,16,21,20,19,28
140,384,471,887,794,851,393,374,646,505
141,290,241,215,761,4376,3142,3785,6904,5238
142,19,40,36,65,49,38,17,29,22
143,239,196,207,86,15,107,118,20,48
144,405,417,458,562,609,567,406,303,199
145,142,249,239,224,165,119,173,156,71
146,114,185,247,292,278,277,301,434,318
147,534,446,497,613,719,308,486,990,1303
148,1508,795,964,972,366,338,277,1329,141
149,547,558,763,244,164,223,914,1152,1187
150,862,1195,1205,558,104,22,214,933,1392
151,120,137,157,488,314,163,143,318,96
152,183,218,389,775,471,351,218,274,161
153,28,33,116,162,88,23,10,291,1016
154,924,236,319,686,697,300,400,294,623
155,2388,1307,924,691,635,2623,4843,9460,3559
156,111,213,221,263,171,175,82,93,88
157,2611,2487,2430,2975,1914,315,1095,2966,2366
158,430,932,1586,1148,988,445,570,1406,1747
159,840,973,1375,1334,172,19,113,943,920
160,289,224,380,888,451,335,320,262,183
161,1144,916,1386,2472,1935,956,838,1201,1184
162,682,493,1498,1800,1023,300,177,199,222
163,1684,2596,1997,2512,1754,2224,2677,2479,1539
164,233,150,259,373,436,415,163,249,136
165,38,33,185,91,432,70,7,156,354
166,330,603,659,835,611,786,939,534,155
167,1434,2243,3017,3217,3307,1192,1658,3725,2487
168,2993,1645,1027,1228,1273,1211,1742,2040,1261
169,276,25,113,135,421,267,46,221,235
170,3706,5416,8270,12575,13400,6165,6536,10936,6966
171,461,447,676,1090,982,532,748,1298,1393
172,92,2899,2323,1377,772,171,44,640,4756
173,325,363,299,338,418,223,165,349,181
174,64,141,319,338,165,8,12,33,33
175,888,984,1047,1154,964,853,594,819,759
176,42,99,109,104,84,75,234,1438,718
177,665,1110,1185,610,421,264,182,215,449
178,7,139,986,1896,1400,1233,178,535,682
179,23,252,1003,807,81,0,11,239,886
180,433,338,1251,2132,1881,784,1118,2248,2575
181,131,478,541,730,646,1167,710,722,468
182,838,438,1733,1635,865,114,2709,4207,2291
183,49,120,392,273,284,321,30,126,538
184,67,112,95,189,126,89,93,111,72
185,5298,4919,5327,7422,3611,1840,3159,3125,4125
186,887,793,957,1079,1084,249,478,439,409
187,966,941,1282,1705,706,122,46,25,32
188,2805,1961,2051,3185,2465,1644,3016,3206,2777
189,168,246,325,726,505,458,319,880,1416
190,2057,2234,2460,2882,2935,898,1573,2086,1816
191,206,918,1697,1692,645,325,936,1862,1619
192,53,69,156,210,432,421,82,231,219
193,156,274,428,675,777,299,286,607,231
194,18,24,22,33,38,27,26,11,21
195,186,730,2603,2462,1658,698,495,752,1070
196,70,609,1408,1926,1917,1215,1303,1381,893
197,220,1157,1420,939,710,109,508,1774,1151
198,73,109,114,162,99,105,212,278,221
199,2074,1647,1614,2289,3107,3669,4682,5358,4127
200,229,404,892,1736,1454,928,1556,1663,1605
201,440,609,1064,1248,1134,991,435,338,84
202,184,186,125,65,65,46,29,114,193
203,221,185,111,222,184,112,103,172,183
204,8,25,57,90,105,61,2,0,7
205,656,984,1714,1809,735,129,20,172,707
206,667,937,1038,1270,1969,1425,635,243,9
207,1219,1578,2619,2886,1388,419,950,2528,2188
208,145,124,108,160,153,57,82,109,194
209,164,101,1058,2195,1308,439,493,601,1043
210,257,305,1440,5792,2595,796,323,224,692
211,847,1095,1148,1521,998,715,790,1131,1301
212,2092,1311,1874,2406,1485,541,759,1634,2266
213,620,977,899,1270,783,348,178,316,523
214,285,238,251,243,226,149,158,181,112
215,783,1031,1385,1750,1590,196,255,1170,1460
216,3936,4075,3521,2933,1064,548,1355,2363,3803
217,3023,3578,4090,3911,3172,1976,2862,3186,2487
218,122,261,509,488,229,96,80,135,295
219,1478,2158,3076,2396,2425,363,1011,1949,1715
220,288,395,319,1306,356,135,198,499,364
221,303,727,407,305,534,165,1266,2232,1603
222,263,611,1177,1150,580,112,375,829,756
223,1519,2476,3298,3618,2936,1589,1220,2083,2317
224,619,604,633,655,427,45,163,294,429
225,55,128,132,139,130,50,50,94,144
226,72,73,96,88,61,46,87,141,76
227,2373,3482,3994,3779,2977,2004,5531,5586,3748
228,1253,1761,3403,7244,4304,1678,1086,918,951
229,1521,1661,5603,9234,7992,2385,1099,3653,5293
230,1241,1318,1490,2632,2270,917,1378,2086,1723
231,697,676,613,589,569,451,868,1159,722
232,116,85,99,104,62,72,142,128,73
233,1011,866,986,1186,762,554,879,762,608
234,95,133,125,89,64,57,67,67,44
235,77,39,175,261,303,248,136,1057,872
236,6,12,86,178,229,238,88,237,346
237,18,288,940,720,232,86,331,2818,2896
238,6112,5858,5516,2388,2250,2278,5506,6189,8359
239,4886,2573,2065,2546,1734,275,2675,2015,1117
240,800,1443,1699,639,285,448,442,1098,489
241,46,39,80,102,104,42,43,151,114
242,402,1296,1140,544,356,177,434,922,1240
243,1070,1479,897,1087,1840,888,494,501,351
244,1867,1039,1665,1958,1975,974,1463,1937,2589
245,99,66,254,692,46,35,55,519,589
246,733,763,698,1391,909,537,341,1334,271
247,294,503,1134,943,925,585,448,456,419
248,390,598,821,1722,816,397,248,419,396
249,1130,2603,3337,2836,1868,1024,1874,2982,3079
250,671,998,1125,1495,2004,1042,681,827,618
251,99,93,155,186,26,22,49,114,144
252,8,164,38,453,426,669,365,112,333
253,218,234,224,296,163,106,143,86,62
254,60,106,148,555,496,357,443,195,120
255,1043,860,776,1091,1048,1399,849,1322,1391
256,213,238,216,278,140,158,155,342,404
257,1864,2166,2272,2046,1562,833,1728,1844,1431
258,256,320,401,573,489,216,185,411,571
259,1899,1626,1560,1803,1143,633,1463,2133,2114
260,142,150,120,240,202,134,113,159,96
261,1218,1093,1324,1323,1368,1500,2714,2039,884
262,318,217,93,130,151,112,162,79,104
263,1996,2861,2924,2256,2197,1973,2608,3427,3557
264,406,313,180,197,148,101,192,258,249
265,259,307,314,486,281,188,113,194,226
266,88,100,684,167,124,53,38,37,59
267,317,333,297,275,250,80,85,424,1207
268,1204,1564,1872,1190,416,64,178,444,161
269,258,434,366,203,212,219,120,534,432
270,502,1711,2552,3821,134,201,922,2168,1998
271,403,339,498,573,277,76,335,326,288
272,1080,963,996,578,273,13,380,200,535
273,60,296,371,336,161,102,26,25,29
274,1160,890,1074,677,304,8,600,482,840
275,1219,490,177,1185,2187,135,129,213,147
276,540,923,1993,2588,2209,1577,923,1161,1030
277,20,36,61,234,148,24,42,107,57
278,1563,1648,1852,2366,1250,1541,1533,1312,535
279,1332,1933,1192,807,156,26,1645,2308,1850
280,1268,1389,1253,1222,938,772,1866,3404,2710
281,947,895,859,1784,923,475,510,1110,1337
282,309,249,374,109,65,57,423,83,203
283,107,531,489,190,165,150,23,107,245
284,112,65,193,215,187,91,125,72,24
285,488,837,1007,773,29,9,656,1750,2691
286,891,438,1139,644,43,488,798,1184,2434
287,2658,3138,4589,4840,2922,1546,5512,4846,3080
288,867,825,2128,2098,2392,114,219,263,1295
289,36,63,71,66,51,40,24,32,24
290,471,520,475,824,642,421,462,507,472
291,664,784,1071,492,1091,176,375,1900,2683
292,153,568,608,761,731,289,657,805,556
293,306,241,166,90,91,98,54,64,59
294,451,522,622,707,697,569,262,629,935
295,160,144,107,160,138,80,76,121,58
296,829,1016,1284,888,669,439,514,883,759
297,2461,157,58,52,55,870,953,484,211
298,15,73,160,378,263,188,319,192,183
299,1414,1104,768,737,594,422,625,689,410
300,1465,1361,967,652,739,428,694,944,1332
301,64,355,722,2111,1813,1153,1141,1140,1426
302,182,319,288,329,229,72,58,369,1020
303,1089,1081,2455,2489,1588,1156,1539,1658,1824
304,1122,2624,2461,2776,2396,2170,2848,4844,3380
305,883,352,400,457,335,28,304,467,482
306,115,320,1557,602,241,12,13,536,446
307,236,917,353,508,580,254,177,225,351
308,370,1008,1804,687,273,190,192,110,98
309,113,147,397,489,379,359,348,467,472
310,521,683,739,579,611,440,386,932,590
311,709,863,790,576,658,977,1594,1196,1736
312,119,34,13,150,27,31,28,69,49
313,260,174,204,123,135,125,241,525,760
314,57,61,51,61,73,62,58,96,95
315,331,1310,1904,1657,357,92,229,537,646
316,789,755,675,1362,979,567,911,1861,1341
317,2165,2608,2274,1948,1526,1141,1193,1234,1174
318,24,37,64,94,71,50,28,21,19
319,68,156,119,119,134,200,131,150,101
320,9,204,344,669,911,649,582,470,306
321,62,71,87,167,172,79,87,142,119
322,2188,2354,2007,2247,2844,1669,1050,778,1288
323,51,69,82,67,48,70,64,89,55
324,130,163,94,124,102,93,85,112,87
325,144,188,291,313,248,258,97,288,270
326,883,1918,3200,2525,875,30,758,1836,1376
327,61,72,60,244,113,95,52,185,260
328,802,1542,1674,1923,1568,330,473,1166,953
329,3125,3817,4051,4124,5795,3926,3420,4185,4039
330,183,131,301,732,510,124,453,590,135
331,367,299,238,235,317,82,79,182,186
332,156,222,244,267,196,106,110,122,113
333,101,155,221,442,354,300,155,235,162
334,1195,1264,943,699,646,378,428,530,302
335,159,1346,1760,1096,919,208,2944,1844,1760
336,361,455,595,820,794,492,328,379,247
337,195,208,350,451,206,148,253,322,539
338,1250,1068,970,677,630,229,498,571,170
339,59,101,181,342,270,144,46,62,38
340,1842,1477,1454,1394,1533,1172,1483,1488,902
341,205,568,729,633,430,130,87,109,126
342,371,348,476,322,477,33,20,682,755
343,741,694,724,625,438,542,630,723,612
344,167,120,129,127,122,84,82,154,138
345,1098,1092,1518,1375,842,49,656,980,759
346,1042,2436,3010,2388,746,32,175,1777,1367
347,226,443,523,348,154,115,103,360,229
348,2253,2926,1433,1473,1605,60,2112,3046,1704
349,860,1747,2431,2066,1593,678,1926,2479,1881
350,460,575,507,4,0,38,161,457,415
351,1222,1463,1631,1462,1225,1045,2070,3489,2347
352,2485,2102,1818,1940,533,0,203,3339,2431
353,87,105,83,73,73,81,102,123,141
354,133,238,478,570,455,225,190,389,361
355,787,1958,7730,3999,2271,1613,2207,1843,913
356,596,672,1133,1339,772,743,1324,1345,1080
357,472,531,597,817,529,328,553,571,658
358,88,22,62,135,71,48,120,282,161
359,114,137,97,105,85,87,63,91,41
360,72,1215,506,375,84,40,5,302,699
361,186,611,1881,2297,882,289,63,133,111
362,445,270,245,347,518,476,743,1752,580
363,87,171,244,430,225,219,144,186,112
364,39,1,471,426,177,35,147,112,154
365,106,99,91,103,92,92,88,97,109
366,671,488,995,913,427,142,504,763,351
367,1070,1229,855,329,30,1,640,1809,3192
368,332,163,189,382,198,128,82,197,172
369,198,66,38,24,104,90,72,224,308
370,391,808,658,1698,2072,1255,1345,2405,1495
371,97,135,325,429,295,230,182,467,750
372,515,756,1291,1842,1455,1037,911,799,642
373,74,100,54,31,44,55,64,96,84
374,211,151,188,205,151,140,235,204,191
375,157,119,85,98,64,81,23,48,25
376,305,233,278,433,468,181,65,206,229
377,127,201,227,228,183,87,287,265,244
378,108,43,95,117,53,115,119,82,75
379,849,1029,427,884,826,339,388,197,202
380,13,13,9,14,17,8,6,7,11
381,429,361,327,399,264,231,407,444,353
382,1887,2614,2538,3354,1871,856,1280,1341,653
383,443,325,336,243,235,207,308,323,259
384,76,270,553,1300,716,454,170,231,158
385,6,528,959,1461,1856,1404,691,1526,972
386,855,986,1035,1095,1218,748,934,1362,1435
387,17,79,155,130,71,57,18,31,32
388,1612,1596,1998,2161,2234,1663,1489,2347,3003
389,92,271,459,464,242,21,22,81,37
390,121,110,146,339,314,203,74,203,215
391,562,433,512,429,463,268,670,689,499
392,85,260,383,511,389,238,241,464,77
393,860,2111,2201,239,117,444,1043,447,459
394,381,1086,1810,1486,715,402,241,379,948
395,760,779,790,710,570,358,302,538,365
396,805,1155,1528,1387,1398,1036,766,3294,3411
397,1026,741,1158,1057,1387,821,518,656,753
398,338,834,874,466,199,114,296,811,783
399,329,516,364,119,77,30,269,359,131
400,366,193,683,725,190,122,63,113,107
401,821,549,982,2414,1291,642,786,1390,696
402,2377,2179,2346,2559,2537,237,1097,1964,892
403,585,608,455,411,198,91,164,128,114
404,118,458,721,1346,1211,403,55,725,688
405,1835,555,1288,2073,775,803,1080,1588,1021
406,1227,1293,1509,1613,1811,1483,3129,4655,5613
407,870,574,1046,758,423,188,13,413,596
408,38,100,141,250,203,109,87,119,104
409,175,169,135,77,78,74,157,264,184
410,407,391,639,533,340,216,197,507,1089
411,1437,1168,297,194,158,59,127,484,470
412,2097,1518,2209,1433,239,83,797,1701,1593
413,705,533,1406,1482,596,153,24,6,379
414,16,49,317,779,369,151,60,44,23
415,3718,2931,2681,4732,5268,3101,3291,3398,2113
416,517,273,185,110,248,253,250,468,419
417,140,230,186,548,439,351,245,739,599
418,598,575,747,1225,1235,1663,834,849,525
419,1399,1538,1322,2240,2150,452,870,1865,1455
420,182,186,200,276,173,82,112,133,76
421,397,1048,1758,2807,1907,1425,2741,2894,2056
422,83,299,519,706,460,386,153,183,212
423,413,123,52,44,12,74,105,93,270
424,336,365,309,124,190,220,260,137,120
425,17,304,432,310,139,78,29,37,18
426,539,931,1477,1597,359,377,599,328,1742
427,528,287,1177,1532,2261,2928,4006,3571,1097
428,610,1788,1625,2099,1456,1305,1287,969,568
429,7,197,517,331,154,52,228,148,101
